"","x"
"1",0.450076812301166
"2",0.15738696895401
"3",-0.443143556145326
"4",0.712857956459394
"5",1.12843580499244
"6",0.357980433405423
"7",-1.07971157444028
"8",-1.99645764135173
"9",-0.667655570474135
"10",0.887094165070826
"11",-0.0418599789764012
"12",-0.517345234960154
"13",-0.517345234960154
"14",-0.0418599789764012
"15",-0.0237573586481609
"16",-0.724802817766232
"17",-1.99645764135173
"18",-1.79254133706195
"19",-0.223258534817539
"20",0.230083617806867
"21",-0.1505820349114
"22",0.906777079290698
"23",0.906777079290698
"24",0.266524400481774
"25",1.54023496978083
"26",0.847934923979426
"27",1.75268931795078
"28",0.63689113387699
"29",-0.480174725728815
"30",-1.31009259877828
"31",0.0848678216400746
"32",-1.48627844220611
"33",-0.351101130934103
"34",-1.55457082942359
"35",-0.241463876334041
"36",0.847934923979426
"37",0.524331153459467
"38",0.48713323653581
"39",-2.92498566190123
"40",0.17554126777169
"41",0.303040799918252
"42",0.0124441487035783
"43",-0.554666653672522
"44",2.03291957608235
"45",0.211888295645841
"46",2.19753889032197
"47",-0.610957606298535
"48",0.102985466307728
"49",0.230083617806867
"50",-0.114312590325894
"51",-0.241463876334041
"52",0.655807870675394
"53",2.79417863169391
"54",2.03291957608235
"55",0.139243759085949
"56",-1.50889824110101
"57",0.376343031373122
"58",1.75268931795078
"59",-0.592150777383642
"60",1.92805077891909
"61",-0.114312590325894
"62",2.62389518027166
"63",0.468588055071306
"64",-0.517345234960154
"65",-1.79254133706195
"66",-2.45225804847836
"67",-0.0961905695916882
"68",-0.763172166771703
"69",-0.998769176635709
"70",0.230083617806867
"71",2.0867675569665
"72",0.102985466307728
"73",-0.241463876334041
"74",1.1907464944222
"75",-0.860143226598689
"76",1.44981816074482
"77",-1.62421444791725
"78",-0.667655570474135
"79",1.1907464944222
"80",0.0848678216400746
"81",1.38343121591972
"82",-2.78101615758339
"83",0.542986791286659
"84",1.65661282440044
"85",-0.277927155839835
"86",-0.958789189961582
"87",0.0667561414982231
"88",0.946358902199372
"89",-1.26726266938575
"90",-2.96227004846447
"91",-0.424676665149767
"92",0.789685166179594
"93",0.413150480211048
"94",0.542986791286659
"95",-0.0237573586481609
"96",0.17554126777169
"97",1.33980583591611
"98",-0.00565640640912245
"99",-0.132442651698892
"100",-0.114312590325894
"101",-0.480174725728815
"102",-0.351101130934103
"103",0.966261664857173
"104",0.19370794529205
"105",-0.667655570474135
"106",0.303040799918252
"107",-0.763172166771703
"108",-0.480174725728815
"109",0.0486491511504948
"110",0.887094165070826
"111",2.25457132295332
"112",0.211888295645841
"113",0.674773522883703
"114",-0.801774066565201
"115",-1.26726266938575
"116",-1.35338624798726
"117",-0.978739962765429
"118",-0.0418599789764012
"119",1.06697401749685
"120",-0.223258534817539
"121",-0.860143226598689
"122",0.618021740649704
"123",2.90195469873094
"124",1.65661282440044
"125",-0.387833258524758
"126",-0.369453971292427
"127",0.789685166179594
"128",0.284772487405407
"129",-0.782443194917391
"130",-0.535986348929688
"131",0.48713323653581
"132",0.284772487405407
"133",1.14910863259867
"134",-0.1505820349114
"135",-0.351101130934103
"136",-3.11709746392164
